player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Keon Ellis,elliske01,2023,17,9,-5.455971373236992,1.379766980639292,-4.076204392597701,-6.548107225477305,36.36427306392638,29.81616583844908,-5.926609680242416,8.826657687143678,2.900048006901262,.0255146648220413,.0255146648220413,0,-3.273064466677728,3.84510994540811,.5720454787303821,-1.673965884113231
Joel Embiid,embiijo01,2023,2085,1017,3.738866788003467,3.430874229272106,7.169741017275572,2.007690154500043,4.981417322142606,6.98910747664265,3.538887176752331,3.889704958032642,7.428592134784973,5.315011116104604,5.315011116104604,0,3.572495769940817,3.643374392359781,7.215870162300599,.6439034258234366
Drew Eubanks,eubandr01,2023,1442,695,-1.73791329773113,1.279430339573894,-.4584829581572357,2.513138919731602,-2.340702095700935,.1724368240306671,-.9599437855224108,.5870235109988935,-.3729202745235172,.8365938039579495,.8365938039579495,0,-1.748989513654305,.6332530618193595,-1.115736451834946,-.7553558343335136
Bruno Fernando,fernabr01,2023,476,232,-1.071479166187978,.5147128818264906,-.5567662843614871,-.4753436179200526,-.396791471391697,-.8721350893117497,-.9927368199167669,.4212926683997001,-.5714441515170667,.2573002346037012,.2573002346037012,0,-1.153180552207978,.6748335014056337,-.4783470508023444,-.2227023393166719
Dorian Finney-Smith,finnedo01,2023,1954,981,-2.637519963275625,1.187956238402955,-1.44956372487267,1.856106956767496,-1.182081975064603,.6740249817028923,-1.908468216950849,.7769295652226809,-1.131538651728168,.804949376922744,.804949376922744,0,-1.593327813253893,1.047677346269868,-.5456504669840252,-.6370922741369716
Malachi Flynn,flynnma01,2023,900,437,-.5620866953693729,-3.543753950771235,-4.105840646140607,-1.433921062494206,-3.27445483611349,-4.708375898607696,-.790544296318169,-3.700567079836514,-4.491111376154683,-.3846850785738701,-.3846850785738701,0,.2804885555177707,-3.162869460140849,-2.882380904623078,-.9144919203174356
Simone Fontecchio,fontesi01,2023,427,196,-1.701894360292282,-7.778284576204084,-9.480178936496365,-8.579250637311709,-9.75538727040704,-18.33463790771875,-3.288539183449409,-8.635552780079429,-11.92409196352884,-.9214031199860458,-.9214031199860458,0,-1.849699800021705,-9.203811617208807,-11.05351141723051,.4412996112040701
Bryn Forbes,forbebr01,2023,483,223,-4.35833756575211,-2.105052122278256,-6.463389688030365,-7.820257623808899,.93573936592917,-6.884518257879728,-5.329750965870712,-1.583510375835342,-6.913261341706055,-.4730856195541806,-.4730856195541806,0,-5.110651647666281,-2.926852799227928,-8.037504446894209,-.1255531661266796
Trent Forrest,forretr01,2023,441,211,-1.203804459824515,-.0495747062940655,-1.253379166118581,-2.966826025227403,-3.315461042863819,-6.282287068091224,-1.614637888015573,-.7304830609618608,-2.345120948977435,.0429776367963151,.0429776367963151,0,-2.527345209355047,-.886769650703468,-3.414114860058516,-1.412527337931004
Michael Foster Jr.,fostemi02,2023,2,1,-2.93563023857528,6.949647523267191,4.014017284691911,-65.93875226111578,5.445778911061971,-60.49297335005381,-16.26489876003217,7.115576945196016,-9.149321814836155,-.0031722361274092,-.0031722361274092,0,-14.71855776333863,.6856197352456401,-14.03293802809299,-2.872707356735908
Evan Fournier,fournev01,2023,731,349,-2.151405161249464,-.9464241060397445,-3.097829267289208,-1.437526371761774,-1.20949824500444,-2.647024616766214,-2.152928748260332,-1.069191434153904,-3.222120182414235,-.0843023157381937,-.0843023157381937,0,-1.8773760442892,-.8094628306209617,-2.686838874910162,.2848776758083131
De'Aaron Fox,foxde01,2023,2589,1189,3.87627841329512,-2.126773037831691,1.74950537546343,.4849971860059237,-4.401222790630356,-3.916225604624433,3.313709277086662,-2.711104990381113,.602604286705549,2.056215458664922,2.056215458664922,0,2.957981753308304,-1.737490306500054,1.22049144680825,1.116012515104158
Markelle Fultz,fultzma01,2023,1240,583,-.7321191631414983,-.7752812922920884,-1.507400455433587,-1.744715265522044,-1.87926710827373,-3.623982373795773,-.9542588488488106,-1.018370469414273,-1.972629318263084,.2311955226501764,.2311955226501764,0,-1.075236649529077,-1.086500386666182,-2.161737036195259,-.013452816950857
Wenyen Gabriel,gabriwe01,2023,1035,470,-.1845399349002448,.6389817034264151,.4544417685261703,.5622873907177323,.6720681534017792,1.234355544119512,-.033531493834665,.7021788354236279,.6686473415889629,.8200227760332779,.8200227760332779,0,-1.774237984647359,.121936349461152,-1.652301635186207,.03106059124329
Daniel Gafford,gaffoda01,2023,1459,688,.7822454142550308,-.3553752700550961,.4268701441999347,-2.727984784926791,2.950258765871825,.222273980945034,.0960037766835099,.3215370285571574,.4175408052406673,1.107801776121838,1.107801776121838,0,-.1254652409208118,.4834002386016958,.357934997680884,-.3695354028978486
